category,city,event_id,event_start,baseline_objective,baseline_objective_rank,event_total_precip,event_total_precip_rank,event_peak_positive_abnormal_deficit,event_peak_positive_abnormal_deficit_rank,recoverable_fraction,top_5pct_value_share,marginal_value_gini,decision_criticality_score,decision_criticality_score_rank,lp_minus_random,law_minus_random
high_loss_low_decision,Dallas,61,2019-04-24 15:00:00,0.6946419693,0.9904761904761905,0.352362395,0.7523809523809524,0.06215555493,0.9714285714285714,0.05991398588,0.1419750557,0.4123877827,0.003507890684,0.01904761904761905,0.04771040048,0.04771040048
high_loss_low_decision,Dallas,60,2019-04-24 11:00:00,0.6434381403,0.9714285714285714,0.041338605,0.4095238095238095,0.06215555493,0.9714285714285714,0.07239293644,0.1419750557,0.4123877827,0.004238517995,0.05714285714285714,0.057115178589999996,0.057115178589999996
high_loss_low_decision,Dallas,59,2019-04-23 19:00:00,0.6307852175,0.9619047619047619,2.210631115,1.0,0.06215555493,0.9714285714285714,0.06568683295,0.1419750557,0.4123877827,0.003845883828,0.047619047619047616,0.052265279799999995,0.052265279799999995
high_loss_low_decision,Dallas,55,2019-04-17 11:00:00,0.6297233168,0.9523809523809523,0.01574804,0.2761904761904762,0.04385983862,0.9047619047619048,0.06413741853,0.1419750557,0.4123877827,0.003755167506,0.0380952380952381,0.052619514910000005,0.052619514910000005
high_loss_low_decision,Dallas,64,2019-04-30 18:00:00,0.6216910488,0.9428571428571428,0.005905515,0.09523809523809523,0.05493827201,0.9523809523809523,0.05486721131,0.1419750557,0.4123877827,0.003212408198,0.009523809523809525,0.044828071319999996,0.044828071319999996
high_loss_low_decision,Dallas,57,2019-04-18 12:00:00,0.5691464883,0.9333333333333333,0.09448824,0.5333333333333333,0.04057741584,0.8571428571428571,0.06232289383,0.1419750557,0.4123877827,0.003648929301,0.02857142857142857,0.05065964133,0.05065964133
high_loss_low_decision,Houston,60,2019-04-18 05:00:00,0.457149008,0.9047619047619048,0.86220519,0.9619047619047619,0.0527549075,0.9428571428571428,0.09387180327,0.1544004335,0.4273693615,0.006194226188,0.10476190476190476,0.07609434843,0.07261306527
high_loss_low_decision,Dallas,58,2019-04-18 22:00:00,0.4339111185,0.8952380952380953,0.009842525,0.1761904761904762,0.03655756319,0.8,0.09364614235,0.1419750557,0.4123877827,0.005482867238,0.09523809523809523,0.07574183011,0.07425028521
high_loss_low_decision,Dallas,56,2019-04-18 02:00:00,0.4273576317,0.8857142857142857,0.171259935,0.6571428571428571,0.04562321539,0.9142857142857143,0.08490103523,0.1419750557,0.4123877827,0.004970851899,0.0761904761904762,0.06981023043000001,0.06973439898
high_loss_low_decision,Houston,62,2019-04-30 03:00:00,0.4064162998,0.8666666666666667,0.01181103,0.22380952380952382,0.03738240115,0.819047619047619,0.1178913158,0.1544004335,0.4273693615,0.007779178095,0.18095238095238095,0.09927051553999999,0.09463934884
high_loss_low_decision,Houston,61,2019-04-24 21:00:00,0.3590268447,0.8380952380952381,0.01181103,0.22380952380952382,0.03057047768,0.7619047619047619,0.1188566112,0.1544004335,0.4273693615,0.007842874089,0.20952380952380953,0.09598599966,0.08365022876
high_loss_low_decision,Dallas,63,2019-04-28 09:00:00,0.3377999703,0.819047619047619,0.005905515,0.09523809523809523,0.02141410712,0.5904761904761905,0.07400008392,0.1419750557,0.4123877827,0.004332614517,0.06666666666666667,0.05762920864,0.05762920864
moderate_loss_high_decision,New York,98,2019-06-02 18:00:00,0.01550511148,0.05714285714285714,0.12598432,0.5714285714285714,0.01284042645,0.34285714285714286,0.2564749584,0.2366578348,0.5866248192,0.03560625421,1.0,0.23466516396,0.12718999026
moderate_loss_high_decision,New York,119,2019-06-20 21:00:00,0.01783321113,0.0761904761904762,0.03805776333,0.38095238095238093,0.009006987358,0.2714285714285714,0.1276266689,0.301990445,0.6747150476,0.02600489068,0.9904761904761905,0.120502473376,0.08280995180600001
moderate_loss_high_decision,Philadelphia,658,2023-07-29 09:00:00,0.0198147851,0.09523809523809523,0.01574804,0.2761904761904762,0.00879234695,0.2523809523809524,0.126623227,0.2767547552,0.6622602184,0.02320796907,0.9809523809523809,0.11937376328900001,0.113220086089
moderate_loss_high_decision,Chicago,152,2019-07-17 19:00:00,0.02216888903,0.12380952380952381,0.27952771,0.7238095238095238,0.01334210144,0.3523809523809524,0.2680336809,0.1722164847,0.4584960653,0.02116409507,0.9714285714285714,0.22939303899000002,0.06765921199
moderate_loss_high_decision,New York,100,2019-06-05 21:00:00,0.06728818434,0.3523809523809524,0.01049869333,0.19523809523809524,0.01875161061,0.5571428571428572,0.169567208,0.2044100421,0.5110312076,0.0177129754,0.9619047619047619,0.14469309711,0.06471960717
moderate_loss_high_decision,New York,115,2019-06-20 01:00:00,0.01889311455,0.08571428571428572,0.00787402,0.15714285714285714,0.00338160594,0.14285714285714285,0.1517437935,0.2131626348,0.5339913536,0.01727254137,0.9523809523809523,0.14047937273,0.08295294162
moderate_loss_high_decision,Chicago,154,2019-07-20 05:00:00,0.02404835271,0.1523809523809524,0.01181103,0.22380952380952382,0.005706766028,0.19047619047619047,0.2164610453,0.1722164847,0.4584960653,0.01709188982,0.9428571428571428,0.18648886125,0.08732078965
moderate_loss_high_decision,New York,99,2019-06-02 22:00:00,0.07896785276,0.42857142857142855,0.37401595,0.7714285714285715,0.01581179532,0.45714285714285713,0.1476755773,0.1972551994,0.4920405068,0.01433302948,0.9333333333333333,0.12632737583,0.06422580398
moderate_loss_high_decision,New York,116,2019-06-20 04:00:00,0.02443910888,0.17142857142857143,0.01181103,0.22380952380952382,0.00338160594,0.14285714285714285,0.145082664,0.1918391509,0.4791551984,0.01333610387,0.9142857142857143,0.13002207583,0.08507245523
moderate_loss_high_decision,Philadelphia,642,2023-07-07 17:00:00,0.004404859881,0.009523809523809525,0.01574804,0.2761904761904762,0.0008256984963,0.01904761904761905,0.1964426113,0.1535494671,0.4372857976,0.01319013938,0.8761904761904762,0.18777182575999998,0.06657924373
moderate_loss_high_decision,Philadelphia,654,2023-07-20 18:00:00,0.06758702171,0.37142857142857144,0.12992133,0.5952380952380952,0.01436661912,0.40476190476190477,0.1946529106,0.1535494671,0.4372857976,0.01306996992,0.8666666666666667,0.16039759526,0.10771997315999998
moderate_loss_high_decision,Philadelphia,641,2023-07-07 11:00:00,0.004974469552,0.01904761904761905,0.009842525,0.1761904761904762,0.001487792359,0.0380952380952381,0.1859515315,0.1535494671,0.4372857976,0.01248571581,0.8571428571428571,0.16992450568999998,0.07020372562
high_rain_low_decision,Dallas,59,2019-04-23 19:00:00,0.6307852175,0.9619047619047619,2.210631115,1.0,0.06215555493,0.9714285714285714,0.06568683295,0.1419750557,0.4123877827,0.003845883828,0.047619047619047616,0.052265279799999995,0.052265279799999995
high_rain_low_decision,Austin,478,2024-07-06 17:00:00,0.1342685328,0.6285714285714286,1.27165423,0.9809523809523809,0.02623511767,0.6761904761904762,0.1077933755,0.1493988108,0.4289106436,0.006907263692,0.11428571428571428,0.08693872193999999,0.07470525851000001
high_rain_low_decision,Chicago,145,2019-07-02 20:00:00,0.1258245198,0.6095238095238096,1.16141795,0.9714285714285714,0.02501185643,0.6095238095238096,0.1181618565,0.1722164847,0.4584960653,0.0093301288,0.44761904761904764,0.09988914559999999,0.07858160963
high_rain_low_decision,Houston,60,2019-04-18 05:00:00,0.457149008,0.9047619047619048,0.86220519,0.9619047619047619,0.0527549075,0.9428571428571428,0.09387180327,0.1544004335,0.4273693615,0.006194226188,0.10476190476190476,0.07609434843,0.07261306527
high_rain_low_decision,San Antonio,491,2024-07-06 20:00:00,0.05846105751,0.29523809523809524,0.6548559967,0.9333333333333333,0.01636790638,0.4857142857142857,0.1250674491,0.1479586789,0.4295330819,0.007948430021,0.22857142857142856,0.10404473565,0.07766215463000001
high_rain_low_decision,Philadelphia,649,2023-07-16 10:00:00,0.07318801366,0.4,0.61811057,0.9142857142857143,0.01069273532,0.319047619047619,0.1442909584,0.1535494671,0.4372857976,0.009688416576,0.49523809523809526,0.12069350362,0.10305359092
high_rain_low_decision,Philadelphia,645,2023-07-09 18:00:00,0.09158145415,0.49523809523809526,0.592520005,0.9047619047619048,0.02620668832,0.6619047619047619,0.1343933078,0.1535494671,0.4372857976,0.009023838818,0.3904761904761905,0.11100994878,0.07519507549999999
high_rain_low_decision,Houston,52,2019-04-04 01:00:00,0.08955559994,0.47619047619047616,0.58267748,0.8952380952380953,0.01393183624,0.38095238095238093,0.1091826237,0.1544004335,0.4273693615,0.007204526209,0.1523809523809524,0.09111465059,0.08035869694
high_rain_low_decision,San Antonio,508,2024-07-28 09:00:00,0.1624977201,0.6857142857142857,0.56299243,0.8857142857142857,0.02986680471,0.719047619047619,0.1374346769,0.1479586789,0.4295330819,0.00873440627,0.34285714285714286,0.11381755941999999,0.10276338112
high_rain_low_decision,Austin,482,2024-07-18 08:00:00,0.1898500668,0.7333333333333333,0.513779805,0.8666666666666667,0.04297045833,0.8761904761904762,0.110259057,0.1493988108,0.4289106436,0.007065261453,0.13333333333333333,0.08795077311999999,0.07595744764
high_rain_low_decision,Philadelphia,656,2023-07-25 15:00:00,0.1611150664,0.6761904761904762,0.50000027,0.8476190476190476,0.02881938331,0.7047619047619048,0.1410576712,0.1535494671,0.4372857976,0.009471317502,0.47619047619047616,0.11739799926000001,0.09072936365999999
high_rain_low_decision,Austin,487,2024-07-23 11:00:00,0.2254069291,0.7428571428571429,0.490157745,0.8285714285714286,0.03052262292,0.7428571428571429,0.1104156935,0.1493988108,0.4289106436,0.007075298524,0.14285714285714285,0.08867123489999999,0.0791686979
high_speed_impact_low_decision,Dallas,59,2019-04-23 19:00:00,0.6307852175,0.9619047619047619,2.210631115,1.0,0.06215555493,0.9714285714285714,0.06568683295,0.1419750557,0.4123877827,0.003845883828,0.047619047619047616,0.052265279799999995,0.052265279799999995
high_speed_impact_low_decision,Dallas,60,2019-04-24 11:00:00,0.6434381403,0.9714285714285714,0.041338605,0.4095238095238095,0.06215555493,0.9714285714285714,0.07239293644,0.1419750557,0.4123877827,0.004238517995,0.05714285714285714,0.057115178589999996,0.057115178589999996
high_speed_impact_low_decision,Dallas,61,2019-04-24 15:00:00,0.6946419693,0.9904761904761905,0.352362395,0.7523809523809524,0.06215555493,0.9714285714285714,0.05991398588,0.1419750557,0.4123877827,0.003507890684,0.01904761904761905,0.04771040048,0.04771040048
high_speed_impact_low_decision,Dallas,64,2019-04-30 18:00:00,0.6216910488,0.9428571428571428,0.005905515,0.09523809523809523,0.05493827201,0.9523809523809523,0.05486721131,0.1419750557,0.4123877827,0.003212408198,0.009523809523809525,0.044828071319999996,0.044828071319999996
high_speed_impact_low_decision,Houston,60,2019-04-18 05:00:00,0.457149008,0.9047619047619048,0.86220519,0.9619047619047619,0.0527549075,0.9428571428571428,0.09387180327,0.1544004335,0.4273693615,0.006194226188,0.10476190476190476,0.07609434843,0.07261306527
high_speed_impact_low_decision,Dallas,56,2019-04-18 02:00:00,0.4273576317,0.8857142857142857,0.171259935,0.6571428571428571,0.04562321539,0.9142857142857143,0.08490103523,0.1419750557,0.4123877827,0.004970851899,0.0761904761904762,0.06981023043000001,0.06973439898
high_speed_impact_low_decision,Dallas,55,2019-04-17 11:00:00,0.6297233168,0.9523809523809523,0.01574804,0.2761904761904762,0.04385983862,0.9047619047619048,0.06413741853,0.1419750557,0.4123877827,0.003755167506,0.0380952380952381,0.052619514910000005,0.052619514910000005
high_speed_impact_low_decision,Austin,482,2024-07-18 08:00:00,0.1898500668,0.7333333333333333,0.513779805,0.8666666666666667,0.04297045833,0.8761904761904762,0.110259057,0.1493988108,0.4289106436,0.007065261453,0.13333333333333333,0.08795077311999999,0.07595744764
high_speed_impact_low_decision,Dallas,57,2019-04-18 12:00:00,0.5691464883,0.9333333333333333,0.09448824,0.5333333333333333,0.04057741584,0.8571428571428571,0.06232289383,0.1419750557,0.4123877827,0.003648929301,0.02857142857142857,0.05065964133,0.05065964133
high_speed_impact_low_decision,San Antonio,501,2024-07-23 03:00:00,0.1521064054,0.6571428571428571,0.006561683333,0.14285714285714285,0.03970233648,0.8380952380952381,0.1231274136,0.1479586789,0.4295330819,0.007825134659,0.19047619047619047,0.11003349673,0.059284136259999995
high_speed_impact_low_decision,San Antonio,502,2024-07-23 11:00:00,0.1743211916,0.7142857142857143,0.4435697933,0.8,0.03970233648,0.8380952380952381,0.124190477,0.1479586789,0.4295330819,0.007892695683,0.21904761904761905,0.10156402432,0.07579590476
high_speed_impact_low_decision,Houston,62,2019-04-30 03:00:00,0.4064162998,0.8666666666666667,0.01181103,0.22380952380952382,0.03738240115,0.819047619047619,0.1178913158,0.1544004335,0.4273693615,0.007779178095,0.18095238095238095,0.09927051553999999,0.09463934884
high_decision_not_high_loss,New York,98,2019-06-02 18:00:00,0.01550511148,0.05714285714285714,0.12598432,0.5714285714285714,0.01284042645,0.34285714285714286,0.2564749584,0.2366578348,0.5866248192,0.03560625421,1.0,0.23466516396,0.12718999026
high_decision_not_high_loss,New York,119,2019-06-20 21:00:00,0.01783321113,0.0761904761904762,0.03805776333,0.38095238095238093,0.009006987358,0.2714285714285714,0.1276266689,0.301990445,0.6747150476,0.02600489068,0.9904761904761905,0.120502473376,0.08280995180600001
high_decision_not_high_loss,Philadelphia,658,2023-07-29 09:00:00,0.0198147851,0.09523809523809523,0.01574804,0.2761904761904762,0.00879234695,0.2523809523809524,0.126623227,0.2767547552,0.6622602184,0.02320796907,0.9809523809523809,0.11937376328900001,0.113220086089
high_decision_not_high_loss,Chicago,152,2019-07-17 19:00:00,0.02216888903,0.12380952380952381,0.27952771,0.7238095238095238,0.01334210144,0.3523809523809524,0.2680336809,0.1722164847,0.4584960653,0.02116409507,0.9714285714285714,0.22939303899000002,0.06765921199
high_decision_not_high_loss,New York,100,2019-06-05 21:00:00,0.06728818434,0.3523809523809524,0.01049869333,0.19523809523809524,0.01875161061,0.5571428571428572,0.169567208,0.2044100421,0.5110312076,0.0177129754,0.9619047619047619,0.14469309711,0.06471960717
high_decision_not_high_loss,New York,115,2019-06-20 01:00:00,0.01889311455,0.08571428571428572,0.00787402,0.15714285714285714,0.00338160594,0.14285714285714285,0.1517437935,0.2131626348,0.5339913536,0.01727254137,0.9523809523809523,0.14047937273,0.08295294162
high_decision_not_high_loss,Chicago,154,2019-07-20 05:00:00,0.02404835271,0.1523809523809524,0.01181103,0.22380952380952382,0.005706766028,0.19047619047619047,0.2164610453,0.1722164847,0.4584960653,0.01709188982,0.9428571428571428,0.18648886125,0.08732078965
high_decision_not_high_loss,New York,99,2019-06-02 22:00:00,0.07896785276,0.42857142857142855,0.37401595,0.7714285714285715,0.01581179532,0.45714285714285713,0.1476755773,0.1972551994,0.4920405068,0.01433302948,0.9333333333333333,0.12632737583,0.06422580398
high_decision_not_high_loss,New York,108,2019-06-16 19:00:00,0.2806178036,0.780952380952381,0.03018374333,0.3476190476190476,0.02595726488,0.638095238095238,0.1540652389,0.1889654176,0.4737875565,0.01379337817,0.9238095238095239,0.13071313972,0.11281999262
high_decision_not_high_loss,New York,116,2019-06-20 04:00:00,0.02443910888,0.17142857142857143,0.01181103,0.22380952380952382,0.00338160594,0.14285714285714285,0.145082664,0.1918391509,0.4791551984,0.01333610387,0.9142857142857143,0.13002207583,0.08507245523
high_decision_not_high_loss,New York,106,2019-06-13 22:00:00,0.0931906285,0.5142857142857142,0.1994751733,0.6857142857142857,0.01413909782,0.3904761904761905,0.1475271351,0.1889654176,0.4737875565,0.01320802525,0.8857142857142857,0.12291369649000002,0.07669228559
high_decision_not_high_loss,Philadelphia,642,2023-07-07 17:00:00,0.004404859881,0.009523809523809525,0.01574804,0.2761904761904762,0.0008256984963,0.01904761904761905,0.1964426113,0.1535494671,0.4372857976,0.01319013938,0.8761904761904762,0.18777182575999998,0.06657924373
