city,metric,n_events,n_unique_rounded_1e10,min,max,range,mean,std,cv_abs,zero_within_city_variance
Austin,baseline_objective,15,15,0.02247193429,0.2254069291,0.2029349948,0.1130758575,0.05621544453,0.4971480719,False
Chicago,baseline_objective,13,13,0.01615556916,0.3599332252,0.343777656,0.1214921891,0.1056260895,0.8694064226,False
Dallas,baseline_objective,10,10,0.1708659535,0.6946419693,0.5237760158,0.5159360855,0.1592877875,0.3087355042,False
Houston,baseline_objective,4,4,0.08955559994,0.457149008,0.3675934081,0.3280369381,0.1419920543,0.4328538581,False
New York,baseline_objective,24,24,0.01550511148,0.7345846597,0.7190795482,0.2363405689,0.2135930204,0.9037509787,False
Philadelphia,baseline_objective,20,20,0.004404859881,0.1611150664,0.1567102065,0.05463733117,0.0406023425,0.7431245566,False
San Antonio,baseline_objective,19,19,0.006043985503,0.1743211916,0.1682772061,0.08709139527,0.04832064918,0.5548269037,False
Austin,event_peak_positive_abnormal_deficit,15,13,0.002076205508,0.04297045833,0.04089425282,0.02003760366,0.01106131833,0.5520280028,False
Chicago,event_peak_positive_abnormal_deficit,13,12,0.0006227181642,0.04130670755,0.04068398939,0.01707744394,0.01324928396,0.7758353068,False
Dallas,event_peak_positive_abnormal_deficit,10,8,0.01786907333,0.06215555493,0.0442864816,0.04473061503,0.01538143895,0.3438682644,False
Houston,event_peak_positive_abnormal_deficit,4,4,0.01393183624,0.0527549075,0.03882307126,0.03365990564,0.01393930913,0.4141220501,False
New York,event_peak_positive_abnormal_deficit,24,16,0.00338160594,0.06813897394,0.064757368,0.0245333726,0.01925234502,0.784741068,False
Philadelphia,event_peak_positive_abnormal_deficit,20,16,0.0008256984963,0.02881938331,0.02799368481,0.01029298555,0.008494874307,0.8253071248,False
San Antonio,event_peak_positive_abnormal_deficit,19,15,0.002520241673,0.03970233648,0.03718209481,0.0195549967,0.01164855034,0.5956815295,False
Austin,event_total_precip,15,12,0.005905515,1.27165423,1.265748715,0.2217848967,0.329304993,1.484794492,False
Chicago,event_total_precip,13,13,0.01181103,1.42913463,1.4173236,0.3201091977,0.4335894416,1.35450479,False
Dallas,event_total_precip,10,9,0.005905515,2.210631115,2.2047256,0.296063152,0.6463529738,2.183159132,False
Houston,event_total_precip,4,3,0.01181103,0.86220519,0.85039416,0.3671261825,0.3688032337,1.004568051,False
New York,event_total_precip,24,20,0.00393701,0.80708705,0.80315004,0.1815945862,0.2284417211,1.257976495,False
Philadelphia,event_total_precip,20,15,0.005905515,0.809055555,0.80315004,0.2388780817,0.2526078049,1.05747586,False
San Antonio,event_total_precip,19,18,0.00393701,0.6548559967,0.6509189867,0.1615555507,0.2020365498,1.250570153,False
Austin,marginal_value_gini,15,1,0.4289106436,0.4289106436,0,0.4289106436,5.551115123e-17,1.294235806e-16,True
Chicago,marginal_value_gini,13,1,0.4584960653,0.4584960653,0,0.4584960653,5.551115123e-17,1.210722522e-16,True
Dallas,marginal_value_gini,10,1,0.4123877827,0.4123877827,0,0.4123877827,1.110223025e-16,2.692182143e-16,True
Houston,marginal_value_gini,4,1,0.4273693615,0.4273693615,0,0.4273693615,0,0,True
New York,marginal_value_gini,24,7,0.4737875565,0.6747150476,0.2009274911,0.4926661292,0.04576080522,0.09288400909,False
Philadelphia,marginal_value_gini,20,2,0.4372857976,0.6622602184,0.2249744208,0.4485345186,0.04903203826,0.1093160865,False
San Antonio,marginal_value_gini,19,1,0.4295330819,0.4295330819,0,0.4295330819,1.110223025e-16,2.584720645e-16,True
Austin,optimizer_selected_value_share,15,15,0.09577759637,0.242008229,0.1462306326,0.1795141201,0.03565192514,0.1986023446,False
Chicago,optimizer_selected_value_share,13,13,0.06779619764,0.4012152347,0.3334190371,0.1611839838,0.07567349224,0.4694851836,False
Dallas,optimizer_selected_value_share,10,4,0.05999366042,0.06081379187,0.00082013145,0.06022333831,0.0003518649618,0.005842667837,False
Houston,optimizer_selected_value_share,4,4,0.09951003665,0.1183522877,0.01884225105,0.1083363282,0.007213747142,0.06658659438,False
New York,optimizer_selected_value_share,24,24,0.04696280134,0.1745300971,0.1275672958,0.1104838141,0.03520314076,0.3186271316,False
Philadelphia,optimizer_selected_value_share,20,20,0.08077716448,0.2378313033,0.1570541388,0.161811274,0.04809661133,0.2972389385,False
San Antonio,optimizer_selected_value_share,19,19,0.08377335506,0.4451161894,0.3613428343,0.1880961616,0.07369709504,0.391805417,False
Austin,recoverable_fraction,15,15,0.1077933755,0.1831544337,0.0753610582,0.1310788049,0.02184398858,0.1666477551,False
Chicago,recoverable_fraction,13,13,0.1181618565,0.2680336809,0.1498718244,0.1497403476,0.04178635266,0.2790587396,False
Dallas,recoverable_fraction,10,10,0.05486721131,0.09364614235,0.03877893104,0.07209314482,0.01251051486,0.1735326554,False
Houston,recoverable_fraction,4,4,0.09387180327,0.1188566112,0.02498480793,0.1099505885,0.01001860138,0.09111912471,False
New York,recoverable_fraction,24,24,0.09878326619,0.2564749584,0.1576916922,0.1368561181,0.03004811371,0.2195598862,False
Philadelphia,recoverable_fraction,20,20,0.126623227,0.1964426113,0.0698193843,0.1597025418,0.0202075205,0.126532241,False
San Antonio,recoverable_fraction,19,19,0.1231274136,0.165266663,0.0421392494,0.1365806934,0.01094934683,0.08016760322,False
Austin,top_10pct_value_share,15,1,0.2550294411,0.2550294411,0,0.2550294411,0,0,True
Chicago,top_10pct_value_share,13,1,0.2851398725,0.2851398725,0,0.2851398725,5.551115123e-17,1.946804238e-16,True
Dallas,top_10pct_value_share,10,1,0.2448114678,0.2448114678,0,0.2448114678,2.775557562e-17,1.133753082e-16,True
Houston,top_10pct_value_share,4,1,0.2620645736,0.2620645736,0,0.2620645736,0,0,True
New York,top_10pct_value_share,24,7,0.3035939911,0.4612508342,0.1576568431,0.3165380123,0.03392767895,0.107183585,False
Philadelphia,top_10pct_value_share,20,2,0.2612197853,0.4397365539,0.1785167686,0.2701456237,0.0389068277,0.1440216842,False
San Antonio,top_10pct_value_share,19,1,0.2547014522,0.2547014522,0,0.2547014522,0,0,True
Austin,top_1pct_value_share,15,1,0.03943879511,0.03943879511,0,0.03943879511,0,0,True
Chicago,top_1pct_value_share,13,1,0.05046745039,0.05046745039,0,0.05046745039,0,0,True
Dallas,top_1pct_value_share,10,1,0.0370548108,0.0370548108,0,0.0370548108,0,0,True
Houston,top_1pct_value_share,4,1,0.04448101938,0.04448101938,0,0.04448101938,0,0,True
New York,top_1pct_value_share,24,7,0.05632756319,0.09894543599,0.0426178728,0.05967126146,0.008981876579,0.1505226529,False
Philadelphia,top_1pct_value_share,20,2,0.04393023403,0.08100068133,0.0370704473,0.04578375639,0.008079316679,0.1764668807,False
San Antonio,top_1pct_value_share,19,1,0.04031857684,0.04031857684,0,0.04031857684,1.387778781e-17,3.442033151e-16,True
Austin,top_5pct_value_share,15,1,0.1493988108,0.1493988108,0,0.1493988108,0,0,True
Chicago,top_5pct_value_share,13,1,0.1722164847,0.1722164847,0,0.1722164847,0,0,True
Dallas,top_5pct_value_share,10,1,0.1419750557,0.1419750557,0,0.1419750557,2.775557562e-17,1.954961418e-16,True
Houston,top_5pct_value_share,4,1,0.1544004335,0.1544004335,0,0.1544004335,0,0,True
New York,top_5pct_value_share,24,7,0.1889654176,0.301990445,0.1130250274,0.1981242752,0.02415723871,0.1219297266,False
Philadelphia,top_5pct_value_share,20,2,0.1535494671,0.2767547552,0.1232052881,0.1597097315,0.02685197001,0.16812983,False
San Antonio,top_5pct_value_share,19,1,0.1479586789,0.1479586789,0,0.1479586789,5.551115123e-17,3.751800952e-16,True
