comparison,split_family,heldout_regime,left_model,right_model,left_top5_capture,right_top5_capture,delta_top5_capture,left_spearman,right_spearman,delta_spearman
factorized_vs_activated_law,baseline_loss_regime,loss_high,R1_factorized_low_dim,H4_activated_law,0.9624873485,1,-0.03751265153,0.8841429232,0.9037091994,-0.01956627616
factorized_vs_activated_law,baseline_loss_regime,loss_low,R1_factorized_low_dim,H4_activated_law,0.9450132318,1,-0.05498676819,0.8021694183,0.8166092969,-0.01443987853
factorized_vs_activated_law,baseline_loss_regime,loss_medium,R1_factorized_low_dim,H4_activated_law,0.9146334802,1,-0.08536651979,0.9048391565,0.9510470583,-0.04620790176
factorized_vs_activated_law,duration_regime,duration_high,R1_factorized_low_dim,H4_activated_law,0.9316572373,1,-0.06834276271,0.7964785235,0.7837484036,0.01273011989
factorized_vs_activated_law,duration_regime,duration_low,R1_factorized_low_dim,H4_activated_law,0.9267400267,1,-0.07325997331,0.5581109915,0.543591668,0.01451932347
factorized_vs_activated_law,duration_regime,duration_medium,R1_factorized_low_dim,H4_activated_law,0.9090038407,1,-0.09099615927,0.6964656282,0.6735521025,0.02291352575
factorized_vs_activated_law,peak_rain_regime,peak_high,R1_factorized_low_dim,H4_activated_law,0.9442167119,1,-0.0557832881,0.6601803822,0.6280840091,0.0320963731
factorized_vs_activated_law,peak_rain_regime,peak_low,R1_factorized_low_dim,H4_activated_law,0.9134589593,1,-0.08654104074,0.5976069879,0.5759162868,0.02169070113
factorized_vs_activated_law,peak_rain_regime,peak_medium,R1_factorized_low_dim,H4_activated_law,0.9174899476,1,-0.08251005238,0.6923409347,0.6596265653,0.03271436934
factorized_vs_activated_law,recoverable_fraction_regime,recoverable_high,R1_factorized_low_dim,H4_activated_law,0.939327988,1,-0.06067201204,0.6451256929,0.6258450543,0.01928063853
factorized_vs_activated_law,recoverable_fraction_regime,recoverable_low,R1_factorized_low_dim,H4_activated_law,0.918092594,1,-0.08190740596,0.8099323961,0.8061796778,0.003752718311
factorized_vs_activated_law,recoverable_fraction_regime,recoverable_medium,R1_factorized_low_dim,H4_activated_law,0.9339816913,1,-0.06601830869,0.8194231906,0.8076421014,0.01178108923
factorized_vs_activated_law,speed_impact_regime,speed_high,R1_factorized_low_dim,H4_activated_law,0.9487536054,1,-0.05124639457,0.8907033454,0.8849039637,0.005799381671
factorized_vs_activated_law,speed_impact_regime,speed_low,R1_factorized_low_dim,H4_activated_law,0.9093935369,1,-0.09060646311,0.7756350323,0.7900044552,-0.01436942291
factorized_vs_activated_law,speed_impact_regime,speed_medium,R1_factorized_low_dim,H4_activated_law,0.9254121888,1,-0.07458781121,0.7367968378,0.7237397851,0.01305705266
factorized_vs_activated_law,time_of_day_regime,evening_peak,R1_factorized_low_dim,H4_activated_law,0.9489113055,1,-0.05108869447,0.5681989189,0.5375693898,0.03062952911
factorized_vs_activated_law,time_of_day_regime,midday,R1_factorized_low_dim,H4_activated_law,0.9386699645,1,-0.06133003553,0.7355847207,0.7067755742,0.02880914643
factorized_vs_activated_law,time_of_day_regime,morning_peak,R1_factorized_low_dim,H4_activated_law,0.9186428046,1,-0.08135719535,0.7226011871,0.6954391026,0.02716208453
factorized_vs_activated_law,time_of_day_regime,offpeak_night,R1_factorized_low_dim,H4_activated_law,0.887988545,1,-0.112011455,0.6589730287,0.655083538,0.003889490745
factorized_vs_activated_law,total_rain_regime,rain_high,R1_factorized_low_dim,H4_activated_law,0.9390358391,1,-0.06096416093,0.6740234225,0.6396181643,0.03440525825
factorized_vs_activated_law,total_rain_regime,rain_low,R1_factorized_low_dim,H4_activated_law,0.8984305823,1,-0.1015694177,0.5652629174,0.5527522291,0.01251068828
factorized_vs_activated_law,total_rain_regime,rain_medium,R1_factorized_low_dim,H4_activated_law,0.9362893504,1,-0.06371064963,0.704024778,0.6682344288,0.03579034918
factorized_vs_activated_law,weekend_regime,weekday,R1_factorized_low_dim,H4_activated_law,0.928506397,1,-0.07149360301,0.6239355916,0.5975340083,0.02640158323
factorized_vs_activated_law,weekend_regime,weekend,R1_factorized_low_dim,H4_activated_law,0.9362517034,1,-0.06374829656,0.7316169196,0.6997808016,0.031836118
factorized_vs_full_additive,baseline_loss_regime,loss_high,R1_factorized_low_dim,R2_full_additive,0.9624873485,0.9586315636,0.003855784827,0.8841429232,0.8647091911,0.01943373213
factorized_vs_full_additive,baseline_loss_regime,loss_low,R1_factorized_low_dim,R2_full_additive,0.9450132318,0.9876959748,-0.04268274304,0.8021694183,0.8710966932,-0.06892727487
factorized_vs_full_additive,baseline_loss_regime,loss_medium,R1_factorized_low_dim,R2_full_additive,0.9146334802,0.9405280388,-0.02589455857,0.9048391565,0.9143435693,-0.009504412771
factorized_vs_full_additive,duration_regime,duration_high,R1_factorized_low_dim,R2_full_additive,0.9316572373,0.9505961863,-0.01893894898,0.7964785235,0.9475151816,-0.1510366581
factorized_vs_full_additive,duration_regime,duration_low,R1_factorized_low_dim,R2_full_additive,0.9267400267,0.978998344,-0.05225831728,0.5581109915,0.900530181,-0.3424191896
factorized_vs_full_additive,duration_regime,duration_medium,R1_factorized_low_dim,R2_full_additive,0.9090038407,0.958584512,-0.04958067122,0.6964656282,0.9467206916,-0.2502550633
factorized_vs_full_additive,peak_rain_regime,peak_high,R1_factorized_low_dim,R2_full_additive,0.9442167119,0.9664430731,-0.02222636116,0.6601803822,0.9578640619,-0.2976836797
factorized_vs_full_additive,peak_rain_regime,peak_low,R1_factorized_low_dim,R2_full_additive,0.9134589593,0.9773711417,-0.06391218242,0.5976069879,0.9092547468,-0.3116477588
factorized_vs_full_additive,peak_rain_regime,peak_medium,R1_factorized_low_dim,R2_full_additive,0.9174899476,0.968169912,-0.05067996442,0.6923409347,0.9675039863,-0.2751630516
factorized_vs_full_additive,recoverable_fraction_regime,recoverable_high,R1_factorized_low_dim,R2_full_additive,0.939327988,0.9856831635,-0.04635517558,0.6451256929,0.9375362972,-0.2924106044
factorized_vs_full_additive,recoverable_fraction_regime,recoverable_low,R1_factorized_low_dim,R2_full_additive,0.918092594,0.9713723793,-0.05327978521,0.8099323961,0.9591698985,-0.1492375024
factorized_vs_full_additive,recoverable_fraction_regime,recoverable_medium,R1_factorized_low_dim,R2_full_additive,0.9339816913,0.935600948,-0.001619256642,0.8194231906,0.9486284695,-0.1292052789
factorized_vs_full_additive,speed_impact_regime,speed_high,R1_factorized_low_dim,R2_full_additive,0.9487536054,0.9465625478,0.002191057655,0.8907033454,0.8984340118,-0.007730666386
factorized_vs_full_additive,speed_impact_regime,speed_low,R1_factorized_low_dim,R2_full_additive,0.9093935369,0.9809924453,-0.0715989084,0.7756350323,0.8722497897,-0.09661475738
factorized_vs_full_additive,speed_impact_regime,speed_medium,R1_factorized_low_dim,R2_full_additive,0.9254121888,0.9470877215,-0.02167553266,0.7367968378,0.9430131492,-0.2062163114
factorized_vs_full_additive,time_of_day_regime,evening_peak,R1_factorized_low_dim,R2_full_additive,0.9489113055,0.9614055621,-0.01249425659,0.5681989189,0.9527577663,-0.3845588474
factorized_vs_full_additive,time_of_day_regime,midday,R1_factorized_low_dim,R2_full_additive,0.9386699645,0.9615098748,-0.02283991028,0.7355847207,0.9553599508,-0.2197752302
factorized_vs_full_additive,time_of_day_regime,morning_peak,R1_factorized_low_dim,R2_full_additive,0.9186428046,0.978396075,-0.05975327035,0.7226011871,0.9445145286,-0.2219133415
factorized_vs_full_additive,time_of_day_regime,offpeak_night,R1_factorized_low_dim,R2_full_additive,0.887988545,0.9676232061,-0.07963466105,0.6589730287,0.9437019121,-0.2847288834
factorized_vs_full_additive,total_rain_regime,rain_high,R1_factorized_low_dim,R2_full_additive,0.9390358391,0.9630881787,-0.02405233958,0.6740234225,0.9234676703,-0.2494442478
factorized_vs_full_additive,total_rain_regime,rain_low,R1_factorized_low_dim,R2_full_additive,0.8984305823,0.9756052597,-0.07717467743,0.5652629174,0.906201177,-0.3409382597
factorized_vs_full_additive,total_rain_regime,rain_medium,R1_factorized_low_dim,R2_full_additive,0.9362893504,0.9627578171,-0.02646846677,0.704024778,0.9707044109,-0.2666796329
factorized_vs_full_additive,weekend_regime,weekday,R1_factorized_low_dim,R2_full_additive,0.928506397,0.9828761203,-0.05436972335,0.6239355916,0.9377624693,-0.3138268777
factorized_vs_full_additive,weekend_regime,weekend,R1_factorized_low_dim,R2_full_additive,0.9362517034,0.9581034186,-0.02185171511,0.7316169196,0.9472041179,-0.2155871983
full_interaction_vs_full_additive,baseline_loss_regime,loss_high,R3_full_interaction,R2_full_additive,0.9126428534,0.9586315636,-0.04598871025,0.8590521549,0.8647091911,-0.005657036173
full_interaction_vs_full_additive,baseline_loss_regime,loss_low,R3_full_interaction,R2_full_additive,0.9890816277,0.9876959748,0.001385652803,0.8687223599,0.8710966932,-0.002374333313
full_interaction_vs_full_additive,baseline_loss_regime,loss_medium,R3_full_interaction,R2_full_additive,0.9399897371,0.9405280388,-0.0005383016896,0.9217287184,0.9143435693,0.007385149116
full_interaction_vs_full_additive,duration_regime,duration_high,R3_full_interaction,R2_full_additive,0.9264621237,0.9505961863,-0.02413406257,0.9475110361,0.9475151816,-4.145509736e-06
full_interaction_vs_full_additive,duration_regime,duration_low,R3_full_interaction,R2_full_additive,0.9646667753,0.978998344,-0.01433156869,0.9004290396,0.900530181,-0.0001011414388
full_interaction_vs_full_additive,duration_regime,duration_medium,R3_full_interaction,R2_full_additive,0.9505591615,0.958584512,-0.008025350471,0.9486524396,0.9467206916,0.001931748085
full_interaction_vs_full_additive,peak_rain_regime,peak_high,R3_full_interaction,R2_full_additive,0.9532763242,0.9664430731,-0.01316674889,0.9592472482,0.9578640619,0.001383186276
full_interaction_vs_full_additive,peak_rain_regime,peak_low,R3_full_interaction,R2_full_additive,0.9664669564,0.9773711417,-0.01090418528,0.9114305327,0.9092547468,0.002175785964
full_interaction_vs_full_additive,peak_rain_regime,peak_medium,R3_full_interaction,R2_full_additive,0.9502201772,0.968169912,-0.01794973487,0.9683905099,0.9675039863,0.0008865236326
full_interaction_vs_full_additive,recoverable_fraction_regime,recoverable_high,R3_full_interaction,R2_full_additive,0.9881141629,0.9856831635,0.002430999387,0.9356499232,0.9375362972,-0.001886374025
full_interaction_vs_full_additive,recoverable_fraction_regime,recoverable_low,R3_full_interaction,R2_full_additive,0.9169168452,0.9713723793,-0.05445553402,0.9562716151,0.9591698985,-0.002898283434
full_interaction_vs_full_additive,recoverable_fraction_regime,recoverable_medium,R3_full_interaction,R2_full_additive,0.9371559892,0.935600948,0.001555041235,0.9509874576,0.9486284695,0.002358988162
full_interaction_vs_full_additive,speed_impact_regime,speed_high,R3_full_interaction,R2_full_additive,0.9119080677,0.9465625478,-0.03465448011,0.8960285541,0.8984340118,-0.002405457624
full_interaction_vs_full_additive,speed_impact_regime,speed_low,R3_full_interaction,R2_full_additive,0.9847858055,0.9809924453,0.003793360196,0.8743961553,0.8722497897,0.002146365628
full_interaction_vs_full_additive,speed_impact_regime,speed_medium,R3_full_interaction,R2_full_additive,0.9374917467,0.9470877215,-0.009595974777,0.9461374626,0.9430131492,0.00312431342
full_interaction_vs_full_additive,time_of_day_regime,evening_peak,R3_full_interaction,R2_full_additive,0.9511683727,0.9614055621,-0.01023718939,0.9529231316,0.9527577663,0.0001653652739
full_interaction_vs_full_additive,time_of_day_regime,midday,R3_full_interaction,R2_full_additive,0.9434739182,0.9615098748,-0.01803595655,0.9565441688,0.9553599508,0.00118421797
full_interaction_vs_full_additive,time_of_day_regime,morning_peak,R3_full_interaction,R2_full_additive,0.9682009531,0.978396075,-0.01019512186,0.9448513117,0.9445145286,0.0003367830575
full_interaction_vs_full_additive,time_of_day_regime,offpeak_night,R3_full_interaction,R2_full_additive,0.9533591321,0.9676232061,-0.01426407399,0.9462283711,0.9437019121,0.002526459008
full_interaction_vs_full_additive,total_rain_regime,rain_high,R3_full_interaction,R2_full_additive,0.9484546114,0.9630881787,-0.01463356723,0.9415724107,0.9234676703,0.01810474041
full_interaction_vs_full_additive,total_rain_regime,rain_low,R3_full_interaction,R2_full_additive,0.9625308958,0.9756052597,-0.01307436388,0.9076468806,0.906201177,0.001445703579
full_interaction_vs_full_additive,total_rain_regime,rain_medium,R3_full_interaction,R2_full_additive,0.9494361883,0.9627578171,-0.01332162882,0.9718795749,0.9707044109,0.001175163941
full_interaction_vs_full_additive,weekend_regime,weekday,R3_full_interaction,R2_full_additive,0.959814384,0.9828761203,-0.02306173638,0.9385158184,0.9377624693,0.0007533491327
full_interaction_vs_full_additive,weekend_regime,weekend,R3_full_interaction,R2_full_additive,0.9497000329,0.9581034186,-0.008403385671,0.9476401713,0.9472041179,0.0004360533927
activated_law_vs_deficit_only,baseline_loss_regime,loss_high,H4_activated_law,H1_deficit_only,1,0.8679712016,0.1320287984,0.9037091994,0.3033898528,0.6003193466
activated_law_vs_deficit_only,baseline_loss_regime,loss_low,H4_activated_law,H1_deficit_only,1,0.845960926,0.154039074,0.8166092969,0.3903607989,0.426248498
activated_law_vs_deficit_only,baseline_loss_regime,loss_medium,H4_activated_law,H1_deficit_only,1,0.8404875464,0.1595124536,0.9510470583,0.3294809234,0.6215661349
activated_law_vs_deficit_only,duration_regime,duration_high,H4_activated_law,H1_deficit_only,1,0.8648862771,0.1351137229,0.7837484036,0.1618768663,0.6218715374
activated_law_vs_deficit_only,duration_regime,duration_low,H4_activated_law,H1_deficit_only,1,0.8440240084,0.1559759916,0.543591668,0.25444168,0.289149988
activated_law_vs_deficit_only,duration_regime,duration_medium,H4_activated_law,H1_deficit_only,1,0.8507425757,0.1492574243,0.6735521025,0.2258892063,0.4476628962
activated_law_vs_deficit_only,peak_rain_regime,peak_high,H4_activated_law,H1_deficit_only,1,0.8556645004,0.1443354996,0.6280840091,0.1665468339,0.4615371752
activated_law_vs_deficit_only,peak_rain_regime,peak_low,H4_activated_law,H1_deficit_only,1,0.8452044751,0.1547955249,0.5759162868,0.2122977365,0.3636185503
activated_law_vs_deficit_only,peak_rain_regime,peak_medium,H4_activated_law,H1_deficit_only,1,0.8535506985,0.1464493015,0.6596265653,0.2238567611,0.4357698043
activated_law_vs_deficit_only,recoverable_fraction_regime,recoverable_high,H4_activated_law,H1_deficit_only,1,0.8496615132,0.1503384868,0.6258450543,0.1916985265,0.4341465278
activated_law_vs_deficit_only,recoverable_fraction_regime,recoverable_low,H4_activated_law,H1_deficit_only,1,0.8542636707,0.1457363293,0.8061796778,0.253278224,0.5529014538
activated_law_vs_deficit_only,recoverable_fraction_regime,recoverable_medium,H4_activated_law,H1_deficit_only,1,0.8504944901,0.1495055099,0.8076421014,0.2562741697,0.5513679317
activated_law_vs_deficit_only,speed_impact_regime,speed_high,H4_activated_law,H1_deficit_only,1,0.8560421529,0.1439578471,0.8849039637,0.1842504118,0.7006535519
activated_law_vs_deficit_only,speed_impact_regime,speed_low,H4_activated_law,H1_deficit_only,1,0.8465871159,0.1534128841,0.7900044552,0.3343168108,0.4556876445
activated_law_vs_deficit_only,speed_impact_regime,speed_medium,H4_activated_law,H1_deficit_only,1,0.8517904051,0.1482095949,0.7237397851,0.2124630752,0.5112767099
activated_law_vs_deficit_only,time_of_day_regime,evening_peak,H4_activated_law,H1_deficit_only,1,0.8529172662,0.1470827338,0.5375693898,0.2142291828,0.323340207
activated_law_vs_deficit_only,time_of_day_regime,midday,H4_activated_law,H1_deficit_only,1,0.8509188297,0.1490811703,0.7067755742,0.2032404098,0.5035351644
activated_law_vs_deficit_only,time_of_day_regime,morning_peak,H4_activated_law,H1_deficit_only,1,0.8559969507,0.1440030493,0.6954391026,0.1483421995,0.5470969031
activated_law_vs_deficit_only,time_of_day_regime,offpeak_night,H4_activated_law,H1_deficit_only,1,0.8495124351,0.1504875649,0.655083538,0.2678838458,0.3871996922
activated_law_vs_deficit_only,total_rain_regime,rain_high,H4_activated_law,H1_deficit_only,1,0.8588964319,0.1411035681,0.6396181643,0.1451364754,0.4944816889
activated_law_vs_deficit_only,total_rain_regime,rain_low,H4_activated_law,H1_deficit_only,1,0.8451869435,0.1548130565,0.5527522291,0.256811152,0.2959410771
activated_law_vs_deficit_only,total_rain_regime,rain_medium,H4_activated_law,H1_deficit_only,1,0.8503362986,0.1496637014,0.6682344288,0.209114658,0.4591197708
activated_law_vs_deficit_only,weekend_regime,weekday,H4_activated_law,H1_deficit_only,1,0.8519888421,0.1480111579,0.5975340083,0.2031221109,0.3944118975
activated_law_vs_deficit_only,weekend_regime,weekend,H4_activated_law,H1_deficit_only,1,0.8502969725,0.1497030275,0.6997808016,0.1921822408,0.5075985608
activated_law_vs_structure_only,baseline_loss_regime,loss_high,H4_activated_law,H3_structure_only,1,0.5416735879,0.4583264121,0.9037091994,-0.01315930039,0.9168684997
activated_law_vs_structure_only,baseline_loss_regime,loss_low,H4_activated_law,H3_structure_only,1,0.4780844447,0.5219155553,0.8166092969,-0.1107075286,0.9273168254
activated_law_vs_structure_only,baseline_loss_regime,loss_medium,H4_activated_law,H3_structure_only,1,0.4921280746,0.5078719254,0.9510470583,-0.03167795333,0.9827250116
activated_law_vs_structure_only,duration_regime,duration_high,H4_activated_law,H3_structure_only,1,0.5156983342,0.4843016658,0.7837484036,-0.03111454031,0.8148629439
activated_law_vs_structure_only,duration_regime,duration_low,H4_activated_law,H3_structure_only,1,0.4830201032,0.5169798968,0.543591668,-0.08228553477,0.6258772028
activated_law_vs_structure_only,duration_regime,duration_medium,H4_activated_law,H3_structure_only,1,0.5151824056,0.4848175944,0.6735521025,-0.01716899023,0.6907210927
activated_law_vs_structure_only,peak_rain_regime,peak_high,H4_activated_law,H3_structure_only,1,0.4954946555,0.5045053445,0.6280840091,-0.01773397234,0.6458179815
activated_law_vs_structure_only,peak_rain_regime,peak_low,H4_activated_law,H3_structure_only,1,0.5077451097,0.4922548903,0.5759162868,-0.0420585963,0.6179748831
activated_law_vs_structure_only,peak_rain_regime,peak_medium,H4_activated_law,H3_structure_only,1,0.5086463422,0.4913536578,0.6596265653,-0.05919389414,0.7188204595
activated_law_vs_structure_only,recoverable_fraction_regime,recoverable_high,H4_activated_law,H3_structure_only,1,0.4634032366,0.5365967634,0.6258450543,-0.08080588248,0.7066509368
activated_law_vs_structure_only,recoverable_fraction_regime,recoverable_low,H4_activated_law,H3_structure_only,1,0.5398179144,0.4601820856,0.8061796778,0.0149729548,0.791206723
activated_law_vs_structure_only,recoverable_fraction_regime,recoverable_medium,H4_activated_law,H3_structure_only,1,0.5086649563,0.4913350437,0.8076421014,-0.009854546504,0.8174966479
activated_law_vs_structure_only,speed_impact_regime,speed_high,H4_activated_law,H3_structure_only,1,0.5381010674,0.4618989326,0.8849039637,0.02485311688,0.8600508468
activated_law_vs_structure_only,speed_impact_regime,speed_low,H4_activated_law,H3_structure_only,1,0.4690131983,0.5309868017,0.7900044552,-0.09367669807,0.8836811533
activated_law_vs_structure_only,speed_impact_regime,speed_medium,H4_activated_law,H3_structure_only,1,0.5047718417,0.4952281583,0.7237397851,-0.009176227203,0.7329160123
activated_law_vs_structure_only,time_of_day_regime,evening_peak,H4_activated_law,H3_structure_only,1,0.5059733105,0.4940266895,0.5375693898,-0.05259271968,0.5901621094
activated_law_vs_structure_only,time_of_day_regime,midday,H4_activated_law,H3_structure_only,1,0.5145776846,0.4854223154,0.7067755742,-0.01459766677,0.721373241
activated_law_vs_structure_only,time_of_day_regime,morning_peak,H4_activated_law,H3_structure_only,1,0.5157817087,0.4842182913,0.6954391026,-0.002474646224,0.6979137488
activated_law_vs_structure_only,time_of_day_regime,offpeak_night,H4_activated_law,H3_structure_only,1,0.4901980023,0.5098019977,0.655083538,-0.07373940994,0.7288229479
activated_law_vs_structure_only,total_rain_regime,rain_high,H4_activated_law,H3_structure_only,1,0.4979749499,0.5020250501,0.6396181643,-0.01356327379,0.6531814381
activated_law_vs_structure_only,total_rain_regime,rain_low,H4_activated_law,H3_structure_only,1,0.5081208075,0.4918791925,0.5527522291,-0.04780798244,0.6005602115
activated_law_vs_structure_only,total_rain_regime,rain_medium,H4_activated_law,H3_structure_only,1,0.5057903499,0.4942096501,0.6682344288,-0.0630549071,0.7312893359
activated_law_vs_structure_only,weekend_regime,weekday,H4_activated_law,H3_structure_only,1,0.505620789,0.494379211,0.5975340083,-0.03052611872,0.6280601271
activated_law_vs_structure_only,weekend_regime,weekend,H4_activated_law,H3_structure_only,1,0.5001780048,0.4998219952,0.6997808016,-0.04593722663,0.7457180282
