score_id,n_events,mean_selected_cost_capture_top20pct_actions,mean_selected_action_recall_top20pct_actions,mean_selected_cost_capture_top5pct_actions,mean_finite_value_capture_top20pct_actions,mean_small_signal_value_capture_top20pct_actions,mean_top5pct_units_footprint_mass,mean_top5pct_units_selected_share,mean_top5pct_unit_footprint_rank,mean_top5pct_unit_small_signal_rank,mean_top5pct_unit_finite_rank,delta_selected_cost_capture_vs_small_signal,delta_footprint_mass_vs_small_signal,frontier_utility
activation_plus_0p5_footprint,6,1.0,1.0,0.9328817609691952,0.5393185391494919,0.4525935506525358,0.06495351127149131,0.9754873294346978,0.6815335140537098,0.9716731698194413,0.946645204530011,0.0,0.022039233373457014,1.0649535112714914
small_plus_0p5_footprint,6,1.0,1.0,0.9328817609691952,0.5393185391494919,0.4525935506525358,0.06495351127149131,0.9754873294346978,0.6815335140537098,0.9716731698194413,0.946645204530011,0.0,0.022039233373457014,1.0649535112714914
activation_plus_0p25_footprint,6,1.0,1.0,0.9546718206320469,0.5345635780322937,0.45513924673662826,0.061486551443489135,1.0,0.6583551489188836,0.9734014471900884,0.9443860563531442,0.0,0.01857227354545484,1.061486551443489
small_plus_0p25_footprint,6,1.0,1.0,0.9546718206320469,0.5345635780322937,0.45513924673662826,0.061486551443489135,1.0,0.6583551489188836,0.9734014471900884,0.9443860563531442,0.0,0.01857227354545484,1.061486551443489
small_x_finite_rank,6,1.0,1.0,0.9357538987179709,0.5300415884241795,0.4460088090109751,0.05939005176979564,1.0,0.627611499321356,0.9746761873472897,0.9430585349781743,0.0,0.01647577387176135,1.0593900517697956
small_plus_4p0_finite,6,1.0,1.0,0.9514505907877634,0.5308398657825406,0.44942401988833686,0.05825532665256281,1.0,0.6235857344260258,0.9748957745233987,0.9419605990976296,0.0,0.015341048754528519,1.0582553266525627
activation_plus_0p1_footprint,6,1.0,1.0,0.9599910705197106,0.5300618938010796,0.45613186094654284,0.058083353575916034,1.0,0.6235176914436249,0.9749571065498275,0.9414137505331245,0.0,0.015169075677881741,1.058083353575916
small_plus_0p1_footprint,6,1.0,1.0,0.9599910705197106,0.5300618938010796,0.45613186094654284,0.058083353575916034,1.0,0.6235176914436249,0.9749571065498275,0.9414137505331245,0.0,0.015169075677881741,1.058083353575916
small_plus_1p0_finite,6,1.0,1.0,0.9596850805733393,0.5309887560948707,0.4536143821225134,0.057966504256202527,1.0,0.6209346061205899,0.974984374660466,0.9413655934014487,0.0,0.015052226358168233,1.0579665042562025
small_plus_2p0_finite,6,1.0,1.0,0.9581032320347171,0.5312263115648029,0.4515860584878764,0.057966504256202527,1.0,0.6209346061205899,0.974984374660466,0.9413655934014487,0.0,0.015052226358168233,1.0579665042562025
small_plus_0p5_finite,6,1.0,1.0,0.9601900938617481,0.5309559414781929,0.4551048610325637,0.05770928641012627,1.0,0.6146572760122905,0.9750798762154919,0.9408644851354286,0.0,0.014795008512091978,1.0577092864101263
small_plus_0p25_finite,6,1.0,1.0,0.9613733599762083,0.5279937505003366,0.4559344713027757,0.0475097837733493,1.0,0.6050486931988858,0.9752204651630593,0.9387956280279331,0.0,0.004595505875315008,1.0475097837733494
small_plus_0p1_finite,6,1.0,1.0,0.9609117262347171,0.5261944339283425,0.4562948984740145,0.046904647873113325,1.0,0.5952426196633952,0.9752802637764849,0.9367032081488348,0.0,0.003990369975079032,1.0469046478731134
small_signal,6,1.0,1.0,0.961162775928277,0.5246808511003754,0.45639201146533964,0.04291427789803429,1.0,0.583144868949852,0.9754242895057555,0.9345535073224274,0.0,0.0,1.0429142778980343
activation_plus_1p0_footprint,6,0.9994975232431366,0.9996646545942319,0.8893987903650147,0.5427362828041188,0.4460136918260104,0.08759300690164938,0.9371101364522417,0.7533113578976264,0.9637845161009301,0.9509217055309583,-0.0005024767568634347,0.04467872900361509,1.0868392917663543
small_plus_1p0_footprint,6,0.9994975232431366,0.9996646545942319,0.8893987903650147,0.5427362828041188,0.4460136918260104,0.08759300690164938,0.9371101364522417,0.7533113578976264,0.9637845161009301,0.9509217055309583,-0.0005024767568634347,0.04467872900361509,1.0868392917663543
finite_x_small_rank,6,0.9908949160597257,0.9635554058915407,0.6103487070853563,0.6209896612900963,0.4226642021273215,0.22836209514325553,0.7639265461633883,0.8128765332568472,0.9143752202769244,0.9703313917459613,-0.009105083940274317,0.18544781724522125,1.2147044692328441
activation_plus_2p0_footprint,6,0.9902109755508509,0.9844857688972048,0.8365688895358462,0.5399933976228285,0.4343679590647684,0.09890557635241763,0.9158802941697678,0.7859021914244783,0.9583648524455789,0.9530522090459281,-0.009789024449149086,0.05599129845438334,1.0842220396786941
small_plus_2p0_footprint,6,0.9902109755508509,0.9844857688972048,0.8365688895358462,0.5399933976228285,0.4343679590647684,0.09890557635241763,0.9158802941697678,0.7859021914244783,0.9583648524455789,0.9530522090459281,-0.009789024449149086,0.05599129845438334,1.0842220396786941
activation_no_eta,6,0.9837809310154068,0.9674714956405097,0.7467411216512848,0.3837533654410243,0.38151933468854665,0.04101681080668503,1.0,0.588725657438646,0.9737446987379869,0.9326078342394294,-0.016219068984593243,-0.0018974670913492614,1.0166882073297951
activation_plus_4p0_footprint,6,0.953720386248566,0.9291585131036695,0.7765304569738977,0.5328804996589939,0.42177202318415147,0.10555437609422656,0.8923954456849194,0.8096646223928019,0.9525205276208443,0.9541157886594288,-0.04627961375143397,0.06264009819619226,1.0361349554670756
small_plus_4p0_footprint,6,0.953720386248566,0.9291585131036695,0.7765304569738977,0.5328804996589939,0.42177202318415147,0.10555437609422656,0.8923954456849194,0.8096646223928019,0.9525205276208443,0.9541157886594288,-0.04627961375143397,0.06264009819619226,1.0361349554670756
finite_value,6,0.9127524404657241,0.8738106312114691,0.49903312154919055,0.6454740709214641,0.3966337479123519,0.33542422992817983,0.5610845295055821,0.883756137799019,0.8153049789672463,0.9754242895057557,-0.08724755953427588,0.2925099520301455,1.204552890626766
activation_x_footprint,6,0.8741942240877818,0.8089874012259791,0.646235545812999,0.4412836918647953,0.36434372471433285,0.10050482099874321,0.9118642566010987,0.7954463057918048,0.9534592127419591,0.9477460745386033,-0.1258057759122182,0.057590543100708914,0.911796157130416
small_x_footprint_rank,6,0.8712429751769847,0.836869340408084,0.7094198196517421,0.5229982217022319,0.4042465976912449,0.1264714887666554,0.8614854687223108,0.8280085004763342,0.9466999031496198,0.9562639469938888,-0.12875702482301532,0.08355721086862111,0.9333359515321324
footprint_only,6,0.3479349651645263,0.33151328705890787,0.052500120131895735,0.3694818754258195,0.23801777943616606,0.490628361221738,0.1237550948077264,0.9754242895057555,0.49242464241748013,0.8776278375041687,-0.6520650348354737,0.44771408332370366,0.5125308089685274
