parameter_scenario,score_id,description,score_col,n_tokens,n_events,spearman,mean_event_spearman,mean_event_top_1pct_value_capture,mean_event_top_1pct_ndcg,mean_event_top_1pct_precision,mean_event_top_5pct_value_capture,mean_event_top_5pct_ndcg,mean_event_top_5pct_precision,mean_event_top_10pct_value_capture,mean_event_top_10pct_ndcg,mean_event_top_10pct_precision
base,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.1847597727,-0.1016671199,0.103327944,0.08968920313,0,0.2407864341,0.200325309,0.0004948266675,0.3582576662,0.2994732281,0.01773434555
base,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.1958971798,0.6901286304,0.8132291475,0.8206453717,0.420275193,0.8514732247,0.84370465,0.5264308499,0.8839641165,0.8702712743,0.5916301629
base,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.2672292747,0.8920368242,0.842294689,0.8403148533,0.4198393513,0.8738791727,0.8640016766,0.5164344924,0.9156859422,0.8981603125,0.6067848138
base,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.03569445676,-0.1438052974,0.4470873897,0.4366186774,0,0.5039620358,0.4876203586,0.01099703585,0.5422087004,0.5204326466,0.08475478137
base,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.498105978,0.8399517642,0.7639379962,0.750574331,0.3274925562,0.8367390283,0.8126152219,0.4815162874,0.8824744959,0.8539593902,0.5767886321
base,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.6245882053,1,1,1,1,1,1,1,1,1,1
low_efficiency_all,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.1847597727,-0.1016671199,0.103327944,0.08968920313,0,0.2407864341,0.200325309,0.0004948266675,0.3582576662,0.2994732281,0.01773434555
low_efficiency_all,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.1958971798,0.6901286304,0.8132291475,0.8206453717,0.420275193,0.8514732247,0.84370465,0.5264308499,0.8839641165,0.8702712743,0.5916301629
low_efficiency_all,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.2672292747,0.8920368242,0.842294689,0.8403148533,0.4198393513,0.8738791727,0.8640016766,0.5164344924,0.9156859422,0.8981603125,0.6067848138
low_efficiency_all,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.03569445676,-0.1438052974,0.4470873897,0.4366186774,0,0.5039620358,0.4876203586,0.01099703585,0.5422087004,0.5204326466,0.08475478137
low_efficiency_all,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.498105978,0.8399517642,0.7639379962,0.750574331,0.3274925562,0.8367390283,0.8126152219,0.4815162874,0.8824744959,0.8539593902,0.5767886321
low_efficiency_all,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.6245882053,1,1,1,1,1,1,1,1,1,1
high_efficiency_all,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.1847597727,-0.1016671199,0.103327944,0.08968920313,0,0.2407864341,0.200325309,0.0004948266675,0.3582576662,0.2994732281,0.01773434555
high_efficiency_all,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.1958971798,0.6901286304,0.8132291475,0.8206453717,0.420275193,0.8514732247,0.84370465,0.5264308499,0.8839641165,0.8702712743,0.5916301629
high_efficiency_all,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.2672292747,0.8920368242,0.842294689,0.8403148533,0.4198393513,0.8738791727,0.8640016766,0.5164344924,0.9156859422,0.8981603125,0.6067848138
high_efficiency_all,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.03569445676,-0.1438052974,0.4470873897,0.4366186774,0,0.5039620358,0.4876203586,0.01099703585,0.5422087004,0.5204326466,0.08475478137
high_efficiency_all,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.498105978,0.8399517642,0.7639379962,0.750574331,0.3274925562,0.8367390283,0.8126152219,0.4815162874,0.8824744959,0.8539593902,0.5767886321
high_efficiency_all,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.6245882053,1,1,1,1,1,1,1,1,1,1
expensive_all,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.1847597727,-0.1016671199,0.103327944,0.08968920313,0,0.2407864341,0.200325309,0.0004948266675,0.3582576662,0.2994732281,0.01773434555
expensive_all,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.1958971798,0.6901286304,0.8132291475,0.8206453717,0.420275193,0.8514732247,0.84370465,0.5264308499,0.8839641165,0.8702712743,0.5916301629
expensive_all,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.2672292747,0.8920368242,0.842294689,0.8403148533,0.4198393513,0.8738791727,0.8640016766,0.5164344924,0.9156859422,0.8981603125,0.6067848138
expensive_all,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.03569445676,-0.1438052974,0.4470873897,0.4366186774,0,0.5039620358,0.4876203586,0.01099703585,0.5422087004,0.5204326466,0.08475478137
expensive_all,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.498105978,0.8399517642,0.7639379962,0.750574331,0.3274925562,0.8367390283,0.8126152219,0.4815162874,0.8824744959,0.8539593902,0.5767886321
expensive_all,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.6245882053,1,1,1,1,1,1,1,1,1,1
cheap_all,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.1847597727,-0.1016671199,0.103327944,0.08968920313,0,0.2407864341,0.200325309,0.0004948266675,0.3582576662,0.2994732281,0.01773434555
cheap_all,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.1958971798,0.6901286304,0.8132291475,0.8206453717,0.420275193,0.8514732247,0.84370465,0.5264308499,0.8839641165,0.8702712743,0.5916301629
cheap_all,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.2672292747,0.8920368242,0.842294689,0.8403148533,0.4198393513,0.8738791727,0.8640016766,0.5164344924,0.9156859422,0.8981603125,0.6067848138
cheap_all,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.03569445676,-0.1438052974,0.4470873897,0.4366186774,0,0.5039620358,0.4876203586,0.01099703585,0.5422087004,0.5204326466,0.08475478137
cheap_all,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.498105978,0.8399517642,0.7639379962,0.750574331,0.3274925562,0.8367390283,0.8126152219,0.4815162874,0.8824744959,0.8539593902,0.5767886321
cheap_all,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.6245882053,1,1,1,1,1,1,1,1,1,1
fast_response,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.1375160737,-0.1581752523,0.1013297126,0.08748770504,0,0.2309416276,0.1919357524,0.0004948266675,0.3423821997,0.2861830723,0.01161217562
fast_response,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.1839962157,0.6960852483,0.8151683604,0.8235412658,0.420275193,0.8527939933,0.845564123,0.5255193539,0.8858061378,0.872327277,0.5912202722
fast_response,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.2515357747,0.8995713964,0.8458759213,0.8457350399,0.4198393513,0.8762550149,0.8673739415,0.5155098002,0.9175443594,0.900815901,0.6069956324
fast_response,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.03100054636,-0.1403367805,0.4501753321,0.4396510683,0,0.507686237,0.4911469488,0.01115576601,0.5468814856,0.524720492,0.08516305037
fast_response,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.4729164926,0.8300661177,0.763790811,0.7506352639,0.3268122841,0.8346397901,0.8112600845,0.4802907715,0.8807162011,0.8526052559,0.575952298
fast_response,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.6062969493,1,1,1,1,1,1,1,1,1,1
slow_response_2h,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.6053735465,0.4916320526,0.1148185715,0.1001781075,0,0.2763314054,0.229543842,0.005335277518,0.4091587708,0.3417875166,0.04154061938
slow_response_2h,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.1048314369,0.3997894225,0.5765242556,0.4510421459,0.3170915909,0.676484269,0.6019066454,0.4374624539,0.7138175223,0.6535337798,0.4880996626
slow_response_2h,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.1708726258,0.5578028227,0.5374041387,0.4016503533,0.3090809997,0.6982418699,0.6093090432,0.4512313076,0.7489778743,0.675563932,0.5491970258
slow_response_2h,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.03588213222,-0.1057908677,0.317002229,0.2656411021,0,0.3883268981,0.3528164164,0.02686873545,0.4173529098,0.3851302682,0.07407105224
slow_response_2h,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.771079517,0.9299104848,0.7738650066,0.7519191334,0.3145599692,0.8490272509,0.8182923229,0.4932858394,0.8934631555,0.8602889502,0.586747796
slow_response_2h,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.8221672586,1,1,1,1,1,1,1,1,1,1
slow_response_4h,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.8349247023,0.791025944,0.1292256107,0.1117480084,0,0.3207300605,0.2648714489,0.01104096609,0.4733970232,0.3939959804,0.08017902105
slow_response_4h,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.03090673918,0.1872934475,0.3459523747,0.2463094493,0.2052851224,0.4970603162,0.4221941369,0.3303345436,0.5408002244,0.477970473,0.3878270879
slow_response_4h,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.08594225782,0.3036717514,0.2288487747,0.158999579,0.1640424946,0.5335878872,0.4406061277,0.3741005415,0.5745811692,0.5000938095,0.4526809318
slow_response_4h,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.03208033204,-0.07151829799,0.2060002056,0.161571677,0,0.2769659881,0.2431996849,0.0325301575,0.2949795839,0.2667326118,0.07279483614
slow_response_4h,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.9095867313,0.9732421421,0.7521373814,0.7284666527,0.277265368,0.8977062088,0.8514740881,0.6357185091,0.9338297038,0.8931738136,0.7151111931
slow_response_4h,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.9267827836,1,1,1,1,1,1,1,1,1,1
R_favored,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.08321436112,-0.2427370854,0.08240987198,0.07155909393,0,0.192266783,0.1591361984,0,0.2906397173,0.2405570464,0.008062722337
R_favored,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.2144168575,0.7082381845,0.807288605,0.7882925813,0.5484472524,0.839120254,0.8219040123,0.5244944939,0.8545320433,0.8385158727,0.5756185643
R_favored,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.2674353669,0.8676291802,0.7788419537,0.7552992686,0.4386275893,0.8167124125,0.7968749565,0.4798169043,0.8557362869,0.8316653907,0.5389030214
R_favored,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.02757601258,-0.1192258062,0.3744256981,0.3622182456,0,0.4356601189,0.4158353563,0.01617275766,0.4864212969,0.4577422436,0.101831968
R_favored,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.541183266,0.918938887,0.9858325138,0.9882394041,0.8270895046,0.9887100243,0.9899462857,0.8764724432,0.9815694146,0.9844839723,0.8888084823
R_favored,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.5932051858,1,1,1,1,1,1,1,1,1,1
C_favored,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.3088750954,0.3718112083,0.0410316323,0.03592205093,0,0.104905621,0.08646383589,0,0.2098459932,0.1689803133,0
C_favored,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.2622688943,0.7447093046,0.7094047719,0.7386738454,0.448826792,0.7548380975,0.7531514234,0.48657389,0.7986146319,0.785737923,0.5265628293
C_favored,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.2716856148,0.7424412701,0.661129217,0.6967660808,0.3650747086,0.6901305303,0.6955085797,0.3460544564,0.7342247866,0.7260895831,0.3786446446
C_favored,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.008170570513,-0.02621033359,0.4383708715,0.4346591436,0,0.4652561603,0.458960303,0.02592348576,0.5015815695,0.486912486,0.1030466189
C_favored,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.5210486878,0.8399779969,0.4818253713,0.4591240214,0.1052121045,0.6296219563,0.5819800405,0.3121835765,0.7273737751,0.668049562,0.4558490785
C_favored,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.6574505673,1,1,1,1,1,1,1,1,1,1
S_favored,S0_efficiency_only,delay feasibility times eta/cost only,ensemble_efficiency_score,170137,105,0.3445103521,0.326573702,0.1427465595,0.1247342516,0,0.3271956262,0.2731487515,0.01877593834,0.4784902367,0.4024116288,0.1065242052
S_favored,S1_deficit_only,deficit-only rank,deficit_only_score,170137,105,0.1036000956,0.371001635,0.5913940725,0.5940376836,0.0142828604,0.6414174734,0.6280712962,0.1287712296,0.6697746488,0.6530657875,0.1828374354
S_favored,S2_exposure_only,OD exposure-only rank,exposure_only_score,170137,105,0.2496281588,0.792129549,0.7544705308,0.7274131875,0.3220592178,0.8094360921,0.7829585854,0.4187103838,0.8388589923,0.8133512133,0.4713179655
S_favored,S3_structure_only,static structure-only score,structure_only_score,170137,105,-0.06753864257,-0.2068617501,0.318617432,0.3096780892,0,0.4016334578,0.378078017,0.01761924972,0.4235345903,0.4014918386,0.03316302093
S_favored,S4_activation_no_efficiency,"delay, future horizon, and OD exposure without eta/cost",ensemble_activation_no_efficiency,170137,105,0.4105890853,0.4776013444,0.537226458,0.5268468448,0.01337617088,0.5925627485,0.5744243579,0.07771219475,0.6141959424,0.596279939,0.09993891186
S_favored,S5_full_activation,full activated bottleneck law under scenario eta/cost,activated_bottleneck_score,170137,105,0.6703900653,1,1,1,1,1,1,1,1,1,1
