city,event_id,event_start,baseline_objective,lp_recoverable_fraction,static_greedy_recoverable_fraction,residual_greedy_recoverable_fraction,static_fraction_of_lp_gain,residual_fraction_of_lp_gain,residual_gain_improvement_over_static,residual_gap_to_lp,static_gap_to_lp,static_selected_action_count,residual_selected_action_count,residual_allocated_cost,event_peak_positive_abnormal_deficit,event_total_precip
Chicago,152,2019-07-17 19:00:00,0.02216888903,0.2680336694,0.1062998424,0.243437912,0.3965913783,0.9082363141,0.5116449359,0.09176368587,0.6034086217,869,2340,3.013699282,0.01334210144,0.27952771
Philadelphia,642,2023-07-07 17:00:00,0.004404859881,0.1964426113,0.07525002927,0.1721299576,0.3830636783,0.876235336,0.4931716577,0.123764664,0.6169363217,80,144,0.2104896005,0.0008256984963,0.01574804
San Antonio,506,2024-07-27 11:00:00,0.006043985503,0.1548050783,0.06153756392,0.1378583924,0.3975164418,0.8905288759,0.4930124341,0.1094711241,0.6024835582,49,79,0.1141558958,0.002520241673,0.01443570333
San Antonio,500,2024-07-23 00:00:00,0.1073168078,0.165266663,0.07729935962,0.1550040282,0.4677250585,0.9379025713,0.4701775128,0.06209742866,0.5322749415,482,688,3.816707883,0.03970233648,0.01706037667
Philadelphia,641,2023-07-07 11:00:00,0.004974469552,0.1859515315,0.08623075143,0.1709208085,0.4637270299,0.9191685981,0.4554415682,0.08083140187,0.5362729701,83,129,0.2182709443,0.001487792359,0.009842525
Philadelphia,640,2023-07-04 01:00:00,0.009872386696,0.1650111764,0.07365688013,0.144469539,0.4463750985,0.8755136599,0.4291385614,0.1244863401,0.5536249015,153,225,0.4128202335,0.002905801377,0.005905515
San Antonio,501,2024-07-23 03:00:00,0.1521064054,0.1231273393,0.07237797883,0.1229463054,0.5878302839,0.9985297016,0.4106994177,0.001470298403,0.4121697161,482,561,3.495324897,0.03970233648,0.006561683333
New York,98,2019-06-02 18:00:00,0.01550511148,0.2564749584,0.1489997847,0.2489312546,0.5809525641,0.9705869772,0.3896344132,0.02941302276,0.4190474359,838,2022,3.596110992,0.01284042645,0.12598432
Chicago,154,2019-07-20 05:00:00,0.02404835271,0.2164610235,0.1172929519,0.2014666576,0.5418663834,0.9307294885,0.388863105,0.06927051151,0.4581336166,516,1138,1.815836829,0.005706766028,0.01181103
New York,100,2019-06-05 21:00:00,0.06728818434,0.1695671828,0.08959369286,0.1542103053,0.528366936,0.9094348488,0.3810679128,0.09056515124,0.471633064,1316,2830,9.423734096,0.01875161061,0.01049869333
Chicago,149,2019-07-13 20:00:00,0.01615556916,0.1539928517,0.09339810721,0.1452825236,0.6065093681,0.9434368025,0.3369274344,0.05656319755,0.3934906319,203,322,0.6505468607,0.0027008348,0.14173236
San Antonio,499,2024-07-22 20:00:00,0.02160154324,0.1417816949,0.08642987707,0.1338172961,0.6095982781,0.9438263256,0.3342280475,0.0561736744,0.3904017219,164,219,0.4079995755,0.006082525209,0.1902888167
New York,117,2019-06-20 07:00:00,0.02864635885,0.1233006801,0.07820966144,0.1181078261,0.6343003249,0.9578846285,0.3235843036,0.04211537145,0.3656996751,314,454,1.521707899,0.00338160594,0.02362206
New York,115,2019-06-20 01:00:00,0.01889311455,0.1517437935,0.09421736239,0.1379161592,0.6208976343,0.908875125,0.2879774907,0.09112487503,0.3791023657,303,509,1.521707899,0.00338160594,0.00787402
Philadelphia,647,2023-07-14 08:00:00,0.01199311988,0.1843734931,0.1228811383,0.1754745569,0.6664794174,0.9517341888,0.2852547713,0.04826581124,0.3335205826,186,282,0.5188237906,0.001727634009,0.005905515
New York,116,2019-06-20 04:00:00,0.02443910888,0.145082664,0.1001330434,0.140657835,0.6901792441,0.9695013249,0.2793220808,0.03049867509,0.3098207559,292,414,1.521707899,0.00338160594,0.01181103
San Antonio,495,2024-07-13 13:00:00,0.03348498918,0.1345568653,0.09297158703,0.1289192822,0.6909464397,0.9581025976,0.2671561578,0.04189740244,0.3090535603,246,328,0.6324483959,0.009428645376,0.1443570333
Chicago,147,2019-07-03 02:00:00,0.03897364079,0.1321962513,0.09392623078,0.1286442588,0.7105060083,0.9731309142,0.2626249059,0.02686908581,0.2894939917,433,700,1.520669143,0.0006227181642,0.03149608
New York,99,2019-06-02 22:00:00,0.07896785276,0.1476755773,0.08557400545,0.1239021703,0.5794729703,0.8390159867,0.2595430164,0.1609840133,0.4205270297,1282,1939,8.431912331,0.01581179532,0.37401595
New York,106,2019-06-13 22:00:00,0.0931906285,0.1475271351,0.1013057242,0.138947711,0.6866921405,0.9418451118,0.2551529713,0.05815488822,0.3133078595,1390,2179,8.609963856,0.01413909782,0.1994751733
Philadelphia,653,2023-07-19 11:00:00,0.03839710662,0.1511064161,0.105132871,0.1429564807,0.6957538519,0.9460649284,0.2503110765,0.0539350716,0.3042461481,693,1099,1.813802551,0.003021297138,0.005905515
Austin,491,2024-07-27 07:00:00,0.02247193429,0.143484268,0.105121155,0.1405908377,0.7326319213,0.9798345117,0.2472025904,0.02016548832,0.2673680787,115,172,0.2785626198,0.002076205508,0.005905515
Chicago,146,2019-07-02 23:00:00,0.04097771244,0.1323694322,0.09675677519,0.1292891258,0.7309601134,0.9767294735,0.24576936,0.02327052654,0.2690398866,461,736,1.604000064,0.002347054096,0.0393701
Philadelphia,654,2023-07-20 18:00:00,0.06758702171,0.1946528878,0.1419752657,0.1882014368,0.7293766219,0.9668566388,0.2374800168,0.03314336124,0.2706233781,949,1674,4.265774354,0.01436661912,0.12992133
Philadelphia,645,2023-07-09 18:00:00,0.09158145415,0.1343933078,0.09857843452,0.1304582207,0.7335070183,0.9707196199,0.2372126016,0.0292803801,0.2664929817,949,1528,3.906858365,0.02620668832,0.592520005
Philadelphia,643,2023-07-08 16:00:00,0.0234280212,0.1703569651,0.1244085173,0.1628565972,0.7302813667,0.9559726375,0.2256912708,0.04402736247,0.2697186333,394,580,1.050453439,0.003739478326,0.549212895
Philadelphia,657,2023-07-28 22:00:00,0.05620795867,0.1357203955,0.1020160921,0.1326443408,0.7516636812,0.9773353541,0.2256716729,0.02266464587,0.2483363188,897,1293,2.3570468,0.01507816758,0.261811165
Austin,485,2024-07-22 23:00:00,0.1053035213,0.1831544337,0.1358256143,0.1762831908,0.7415906433,0.9624838843,0.220893241,0.03751611568,0.2584093567,386,542,2.127726012,0.03052262292,0.3543309
Philadelphia,650,2023-07-16 19:00:00,0.0243808805,0.1729217682,0.1270796884,0.1643416594,0.7348969987,0.950381558,0.2154845593,0.04961844197,0.2651030013,428,661,1.140890303,0.001318960432,0.12992133
San Antonio,492,2024-07-09 16:00:00,0.09517465171,0.1233021434,0.0958494506,0.1202680675,0.7773542939,0.975393162,0.1980388681,0.02460683796,0.2226457061,482,632,1.797613118,0.02679911393,0.1666667567
Austin,486,2024-07-23 03:00:00,0.1806597614,0.1435936695,0.1097785577,0.1377207316,0.7645083382,0.9591003005,0.1945919623,0.0408996995,0.2354916618,386,511,2.883270223,0.03052262292,0.005905515
Philadelphia,646,2023-07-14 06:00:00,0.0218368079,0.1736460156,0.135552464,0.1691646689,0.7806252484,0.9741926318,0.1935673833,0.02580736825,0.2193747516,353,511,0.95363987,0.003129179863,0.15354339
San Antonio,491,2024-07-06 20:00:00,0.05846105751,0.1250674491,0.09868486808,0.1224400015,0.7890531772,0.9789917547,0.1899385776,0.02100824527,0.2109468228,457,562,1.105040355,0.01636790638,0.6548559967
San Antonio,502,2024-07-23 11:00:00,0.1743211916,0.124190477,0.09842235744,0.1218024416,0.7925113085,0.9807711878,0.1882598793,0.01922881218,0.2074886915,482,619,3.295700482,0.03970233648,0.4435697933
San Antonio,493,2024-07-10 17:00:00,0.07381571949,0.1331121895,0.1064400434,0.1300485734,0.7996265693,0.9769847062,0.177358137,0.02301529377,0.2003734307,482,629,1.50392933,0.0160701046,0.06692917
Chicago,159,2019-07-29 17:00:00,0.125480708,0.1421212074,0.1161886836,0.1407993139,0.8175323429,0.9906988298,0.1731664869,0.009301170237,0.1824676571,932,1478,6.007195289,0.01848159911,0.18110246
Philadelphia,656,2023-07-25 15:00:00,0.1611150664,0.1410576712,0.1143890356,0.1387252023,0.8109380704,0.9834644307,0.1725263604,0.01653556926,0.1890619296,949,1407,6.858020583,0.02881938331,0.50000027
Chicago,155,2019-07-21 12:00:00,0.1421726613,0.1206550068,0.09922652422,0.1197193891,0.8223987286,0.9922455122,0.1698467836,0.007754487787,0.1776012714,932,1398,5.686823028,0.02618788377,0.25196864
Chicago,145,2019-07-02 20:00:00,0.1258245198,0.1181618565,0.09685432053,0.1167046755,0.8196750069,0.9876679242,0.1679929174,0.01233207576,0.1803249931,932,1398,4.923071805,0.02501185643,1.16141795
San Antonio,498,2024-07-21 19:00:00,0.05579872396,0.1322226481,0.1077041274,0.1292771319,0.8145664074,0.9777230583,0.1631566508,0.02227694173,0.1854335926,462,576,1.11701441,0.01193186401,0.08792655667
Philadelphia,655,2023-07-21 04:00:00,0.06696318033,0.1448335335,0.1191032795,0.1425349265,0.8223460175,0.9841293176,0.1617833001,0.01587068244,0.1776539825,949,1391,2.976763304,0.01436661912,0.273622195
Philadelphia,652,2023-07-19 06:00:00,0.08686271948,0.1410088922,0.1177713922,0.1393855935,0.8352054286,0.9884879687,0.1532825401,0.01151203128,0.1647945714,949,1312,3.671382131,0.01343162498,0.05118113
New York,113,2019-06-19 10:00:00,0.05902898295,0.1179948876,0.09954093699,0.1170779169,0.8436038121,0.9922287254,0.1486249133,0.007771274587,0.1563961879,640,829,3.199223672,0.007086730324,0.00393701
Chicago,156,2019-07-21 15:00:00,0.07596880961,0.1266312759,0.1079225048,0.1262139521,0.8522578964,0.9967044179,0.1444465214,0.003295582135,0.1477421036,890,1231,3.129048538,0.004635041928,0.07086618
New York,112,2019-06-19 07:00:00,0.05163031833,0.1317235814,0.1041036318,0.121576267,0.7903188688,0.922965089,0.1326462201,0.07703491103,0.2096811312,654,744,3.2705583,0.007086730324,0.00393701
San Antonio,497,2024-07-19 12:00:00,0.06820293445,0.1394336174,0.120512347,0.1383401348,0.8642990781,0.9921576832,0.127858605,0.007842316811,0.1357009219,482,634,1.422791377,0.01603436315,0.4540684867
San Antonio,504,2024-07-24 11:00:00,0.06417011406,0.1283785378,0.1109431878,0.1270858198,0.8641879688,0.9899304202,0.1257424515,0.01006957975,0.1358120312,478,585,1.220918146,0.01448938751,0.1482940433
San Antonio,494,2024-07-12 13:00:00,0.1079999845,0.1286389832,0.1114793066,0.1271378923,0.8666059377,0.9883309804,0.1217250427,0.01166901962,0.1333940623,482,601,2.060033306,0.01986233264,0.03018374333
Chicago,158,2019-07-29 13:00:00,0.2414585392,0.1252282371,0.1098700715,0.1245786936,0.8773586058,0.9948131227,0.1174545169,0.005186877293,0.1226413942,932,1221,9.754483208,0.03362315382,0.41338605
Chicago,153,2019-07-18 08:00:00,0.3599332252,0.1447617086,0.1273414451,0.1441585468,0.8796624903,0.9958334162,0.1161709259,0.004166583767,0.1203375097,932,1269,16.98127064,0.04130670755,1.42913463
Philadelphia,649,2023-07-16 10:00:00,0.07318801366,0.1442909584,0.1266510457,0.143342076,0.8777476228,0.9934238269,0.1156762041,0.006576173067,0.1222523772,949,1243,3.112940798,0.01069273532,0.61811057
Austin,490,2024-07-25 21:00:00,0.06749221661,0.172772258,0.1510531206,0.1708564004,0.874290366,0.9889110812,0.1146207151,0.01108891882,0.125709634,386,456,1.204869036,0.01358562402,0.005905515
Austin,488,2024-07-23 15:00:00,0.08044947701,0.1159705655,0.1016078152,0.1148642084,0.8761517613,0.9904600178,0.1143082564,0.009539982233,0.1238482387,386,464,0.9527473834,0.01805766215,0.084645715
Austin,489,2024-07-23 19:00:00,0.03867617163,0.1273058319,0.1120917329,0.1265635829,0.8804917356,0.9941695597,0.1136778241,0.005830440323,0.1195082644,209,255,0.4440993661,0.002355466562,0.12598432
Austin,483,2024-07-21 17:00:00,0.09318860247,0.108858347,0.0957696454,0.1080132572,0.8797639132,0.992236793,0.1124728797,0.00776320703,0.1202360868,386,453,1.029055544,0.02164519741,0.29133874
New York,108,2019-06-16 19:00:00,0.2806178036,0.1540652389,0.1361720918,0.1532573259,0.8838599334,0.9947560334,0.1108961,0.005243966644,0.1161400666,1390,1853,23.70961504,0.02595726488,0.03018374333
Philadelphia,644,2023-07-09 11:00:00,0.1110530288,0.1481494219,0.1300219366,0.1461541234,0.8776405267,0.986531851,0.1088913243,0.01346814896,0.1223594733,949,1272,5.051169419,0.02620668832,0.809055555
Austin,478,2024-07-06 17:00:00,0.1342685328,0.1077933755,0.09555991207,0.1069208267,0.8865100624,0.9919053576,0.1053952951,0.008094642449,0.1134899376,386,444,1.459143153,0.02623511767,1.27165423
Philadelphia,659,2023-07-29 19:00:00,0.046383602,0.1553082087,0.138208396,0.1543518654,0.8898975604,0.9938422875,0.1039447271,0.006157712453,0.1101024396,796,1080,2.079031254,0.00879234695,0.12598432
Austin,482,2024-07-18 08:00:00,0.1898500668,0.110259057,0.09826573152,0.1096545191,0.8912259383,0.9945171136,0.1032911753,0.005482886362,0.1087740617,386,451,2.117400717,0.04297045833,0.513779805
Houston,61,2019-04-24 21:00:00,0.3590268447,0.1188566112,0.1065208403,0.1184181344,0.8962130018,0.9963108763,0.1000978745,0.003689123673,0.1037869982,324,472,6.450370683,0.03057047768,0.01181103
New York,104,2019-06-11 05:00:00,0.514244662,0.1487545945,0.1332198992,0.1479269495,0.8955682995,0.9944361718,0.09886787225,0.005563828217,0.1044317005,1390,1796,41.71031263,0.04681591781,0.3412075333
San Antonio,505,2024-07-25 17:00:00,0.06805121557,0.1487430447,0.1333633887,0.1475712216,0.8966025199,0.992121829,0.09551930911,0.007878170972,0.1033974801,482,614,1.507392202,0.009153059049,0.00393701
Austin,481,2024-07-13 14:00:00,0.04695458667,0.1386977466,0.125053343,0.1380869634,0.9016249076,0.9955963006,0.09397139292,0.00440369944,0.09837509236,296,345,0.6243899333,0.005791424598,0.02755907
San Antonio,496,2024-07-18 12:00:00,0.1142010555,0.133067066,0.1202623123,0.1324789761,0.9037721803,0.9955805,0.09180831961,0.004419500049,0.09622781966,482,562,2.210856024,0.02527631584,0.02362206
Philadelphia,648,2023-07-16 04:00:00,0.08146607583,0.1693919213,0.1532367769,0.1686396186,0.9046286023,0.9955588047,0.09093020241,0.004441195322,0.09537139773,949,1227,4.075417135,0.01069273532,0.50787429
Austin,479,2024-07-12 13:00:00,0.1559423619,0.1295473124,0.1176397703,0.1292951395,0.9080834493,0.9980534304,0.08996998106,0.001946569616,0.09191655068,386,438,2.026517436,0.02521753832,0.01574804
Austin,487,2024-07-23 11:00:00,0.2254069291,0.1104156935,0.1009131565,0.1098724702,0.9139385296,0.9950801989,0.08114166937,0.00491980106,0.08606147043,386,438,2.479363013,0.03052262292,0.490157745
Houston,52,2019-04-04 01:00:00,0.08955559994,0.1091825691,0.09842661545,0.1069924781,0.9014865305,0.9799410195,0.07845448904,0.02005898045,0.0985134695,322,419,1.504974668,0.01393183624,0.58267748
San Antonio,508,2024-07-28 09:00:00,0.1624977201,0.1374346769,0.1263804986,0.136846091,0.9195677646,0.9957173409,0.07614957632,0.004282659128,0.08043223545,482,562,3.263491779,0.02986680471,0.56299243
New York,109,2019-06-18 07:00:00,0.7345846597,0.1478550483,0.1363058189,0.1473397741,0.9218881636,0.9965150048,0.07462684112,0.003484995244,0.07811183636,1390,1669,58.20723774,0.06813897394,0.1036745967
Austin,484,2024-07-22 14:00:00,0.1084480967,0.1310122947,0.1211222808,0.1305543353,0.9245107958,0.9965044551,0.07199365932,0.00349554489,0.07548920421,386,437,1.429619699,0.01704210899,0.005905515
New York,111,2019-06-18 23:00:00,0.2995702587,0.1167509254,0.1084735464,0.116585336,0.9291022413,0.9985816871,0.06947944587,0.001418312857,0.07089775873,1390,1583,18.59735783,0.007086730324,0.00787402
Chicago,157,2019-07-29 10:00:00,0.2829050771,0.1347009082,0.1252559489,0.134491215,0.9298819927,0.998443268,0.06856127534,0.001556731985,0.07011800733,932,1115,12.0773303,0.03362315382,0.09055123
Austin,480,2024-07-12 15:00:00,0.1171135872,0.1248134854,0.116291662,0.1243396706,0.9317235362,0.9962038166,0.06448028041,0.003796183373,0.06827646379,386,424,1.452910912,0.0164342092,0.05118113
New York,107,2019-06-16 03:00:00,0.3743013216,0.1341549552,0.1256433713,0.1338864125,0.9365540853,0.9979982648,0.06144417948,0.002001735201,0.06344591468,1390,1630,26.86712664,0.02734209638,0.03412075333
Austin,492,2024-07-28 09:00:00,0.1299120167,0.1185037345,0.1111084126,0.1183503127,0.9375941871,0.9987053427,0.06111115557,0.001294657348,0.06240581292,386,420,1.517016101,0.01758517343,0.076771695
Chicago,150,2019-07-16 04:00:00,0.08333075424,0.1313108172,0.1229519211,0.1309301865,0.9363426691,0.9971012998,0.06075863067,0.002898700205,0.06365733088,930,1080,3.463301657,0.01441790021,0.05905515
San Antonio,509,2024-07-28 16:00:00,0.05787973292,0.1448580491,0.135567869,0.1439778305,0.9358670084,0.9939235784,0.05805657,0.006076421617,0.06413299162,477,534,1.214792663,0.004199071565,0.01049869333
San Antonio,503,2024-07-24 09:00:00,0.0637757722,0.1339534857,0.1264091326,0.1333701933,0.9436793072,0.9956455605,0.05196625335,0.004354439483,0.05632069283,478,536,1.236696285,0.01448938751,0.00393701
New York,121,2019-06-25 07:00:00,0.5339519264,0.1237967923,0.1175324769,0.1235837675,0.9493984033,0.9982792382,0.0488808349,0.001720761783,0.05060159668,1390,1604,35.07910644,0.04783041442,0.4973755967
New York,105,2019-06-13 08:00:00,0.2561590109,0.09878326619,0.09390872931,0.09857439824,0.9506542243,0.9978855936,0.04723136935,0.002114406352,0.0493457757,1390,1524,13.3353173,0.03122607429,0.4317587633
Philadelphia,651,2023-07-18 11:00:00,0.09123606506,0.1588102475,0.1507374765,0.1573165853,0.9491671916,0.9905946738,0.04142748226,0.009405326188,0.05083280844,949,1086,4.296730118,0.01025791362,0.01574804
Houston,62,2019-04-30 03:00:00,0.4064162998,0.1178913158,0.1132601491,0.1178506104,0.9607166424,0.9996547207,0.03893807831,0.0003452792649,0.03928335757,324,395,7.008516945,0.03738240115,0.01181103
Houston,60,2019-04-18 05:00:00,0.457149008,0.09387180327,0.09039052011,0.09373066958,0.9629144958,0.9984965274,0.03558203159,0.001503472603,0.03708550419,324,379,6.243465092,0.0527549075,0.86220519
New York,120,2019-06-21 04:00:00,0.05966038473,0.1261122136,0.1057937035,0.1101066599,0.8388854689,0.8730848249,0.0341993559,0.1269151751,0.1611145311,719,777,3.846498066,0.009006987358,0.48031522
San Antonio,507,2024-07-28 05:00:00,0.1698329055,0.1430929955,0.137907526,0.1422808525,0.9637615421,0.9943243695,0.03056282745,0.005675630451,0.0362384579,482,544,3.560331357,0.02986680471,0.0393701
New York,122,2019-06-29 18:00:00,0.4169878714,0.10857205,0.1053044562,0.1084315009,0.9699039134,0.9987054756,0.02880156212,0.001294524439,0.03009608656,1390,1456,23.7154995,0.03686080824,0.04986879333
New York,102,2019-06-10 12:00:00,0.3089764556,0.1118956433,0.108602922,0.1117440425,0.9705732841,0.9986451587,0.02807187468,0.001354841257,0.02942671593,1390,1456,18.11111689,0.0432816613,0.6207352433
New York,101,2019-06-06 02:00:00,0.1381608698,0.1280051421,0.1240479086,0.1273602594,0.9690853554,0.9949620565,0.02587670113,0.005037943522,0.03091464465,1390,1519,9.423734096,0.01875161061,0.1036745967
New York,110,2019-06-18 13:00:00,0.672594944,0.114527596,0.1118754885,0.1142914757,0.9768430705,0.9979383115,0.02109524094,0.002061688536,0.02315692947,1390,1450,40.2881086,0.06813897394,0.80708705
New York,103,2019-06-11 01:00:00,0.3539791125,0.1360233972,0.1328287363,0.1355681332,0.976513887,0.9966530466,0.02013915952,0.003346953432,0.02348611296,1390,1505,25.59521297,0.0432816613,0.00393701
New York,123,2019-06-30 15:00:00,0.2729615004,0.1165328165,0.1141352171,0.116383003,0.9794255435,0.9987144097,0.01928886625,0.001285590259,0.02057445651,1390,1450,16.62784393,0.02021357153,0.04724412
Dallas,58,2019-04-18 22:00:00,0.4339111185,0.09364614235,0.09215459745,0.09338930056,0.9840725432,0.9972573159,0.0131847727,0.002742684102,0.0159274568,212,226,5.281583299,0.03655756319,0.009842525
Dallas,62,2019-04-28 01:00:00,0.1708659535,0.08906290776,0.08871843664,0.08894587297,0.9961322716,0.998685931,0.002553659419,0.001314069019,0.003867728438,212,220,1.973000234,0.01786907333,0.053149635
Dallas,56,2019-04-18 02:00:00,0.4273576317,0.08490103523,0.08482520378,0.08485526319,0.9991068253,0.9994608776,0.0003540522484,0.0005391224038,0.0008931746522,212,215,4.69474522,0.04562321539,0.171259935
Dallas,63,2019-04-28 09:00:00,0.3377999703,0.07400008392,0.07400008392,0.07400008392,1,1,1.402499132e-10,-1.402498118e-10,0,212,212,3.232815079,0.02141410712,0.005905515
New York,119,2019-06-20 21:00:00,0.01783321113,0.1276266689,0.08993414733,0.08993414733,0.7046657887,0.7046657887,8.131273349e-11,0.2953342113,0.2953342113,1095,1095,3.846498066,0.009006987358,0.03805776333
Dallas,57,2019-04-18 12:00:00,0.5691464883,0.06232289383,0.06232289383,0.06232289383,1,1,6.983895631e-11,-6.983902345e-11,0,212,212,4.58733773,0.04057741584,0.09448824
Dallas,61,2019-04-24 15:00:00,0.6946419693,0.05991398588,0.05991398588,0.05991398588,1,1,2.39593988e-11,-2.395950105e-11,0,212,212,5.38242858,0.06215555493,0.352362395
Dallas,59,2019-04-23 19:00:00,0.6307852175,0.06568683295,0.06568683295,0.06568683295,1,1,1.229026896e-11,-1.229016888e-11,0,212,212,5.358569577,0.06215555493,2.210631115
Dallas,55,2019-04-17 11:00:00,0.6297233168,0.06413741853,0.06413741853,0.06413741853,1,1,-3.190351701e-11,3.190347986e-11,0,212,212,5.223364031,0.04385983862,0.01574804
Dallas,60,2019-04-24 11:00:00,0.6434381403,0.07239293644,0.07239293644,0.07239293644,1,0.9999999999,-9.026358445e-11,9.026357439e-11,0,212,212,6.024098126,0.06215555493,0.041338605
Dallas,64,2019-04-30 18:00:00,0.6216910488,0.05486721131,0.05486721131,0.05486721131,1,0.9999999999,-9.152708428e-11,9.152711922e-11,0,212,212,4.411401083,0.05493827201,0.005905515
Philadelphia,658,2023-07-29 09:00:00,0.0198147851,0.126623227,0.1204695498,0.1204695498,0.9514016719,0.9514016717,-1.192222575e-10,0.04859832826,0.04859832814,643,643,1.249107647,0.00879234695,0.01574804
